Time,Step_Number,RF_Btm_Pwr,RF_Rfl_Pwr,Pressure,RF_Tuner,TCP_Tuner,TCP_Top_Pwr,Vat_Valve,batch_id
11.946,4,132,0,1227,9408,20028,360,49,l2901.txm
13.028,4,134,0,1229,9431,20042,350,49,l2901.txm
14.049,4,134,0,1221,9389,20146,344,49,l2901.txm
15.1329,4,133,0,1201,9445,20148,352,50,l2901.txm
16.139,4,132,0,1182,9456,20226,346,50,l2901.txm
17.1589,4,134,0,1144,9406,19478,350,49,l2901.txm
18.2579,4,132,0,1171,9405,19544,346,48,l2901.txm
19.309,4,134,0,1194,9421,19590,354,48,l2901.txm
20.42,4,135,1,1198,9384,19416,356,48,l2901.txm
21.449,4,135,0,1194,9410,19614,354,49,l2901.txm
22.469,4,134,0,1171,9424,19452,343,49,l2901.txm
23.558,4,134,0,1192,9386,19438,358,48,l2901.txm
24.6489,4,133,0,1185,9461,19424,354,49,l2901.txm
25.6689,4,139,0,1186,9412,19448,346,49,l2901.txm
26.689,4,136,0,1186,9432,19468,343,49,l2901.txm
27.715,4,133,0,1187,9413,19464,349,49,l2901.txm
28.7369,4,132,0,1187,9396,19478,348,49,l2901.txm
29.861,4,136,0,1187,9431,19454,358,49,l2901.txm
30.834,4,135,0,1184,9407,19360,353,49,l2901.txm
31.853,4,141,0,1184,9383,19360,351,49,l2901.txm
32.8829,4,133,0,1185,9399,19372,353,49,l2901.txm
33.9089,4,133,0,1186,9444,19358,357,49,l2901.txm
34.929,4,136,0,1187,9373,19396,349,49,l2901.txm
35.958,4,133,0,1189,9387,19380,345,49,l2901.txm
36.988,4,134,0,1187,9400,19350,348,49,l2901.txm
38.0079,4,131,0,1185,9368,19372,354,49,l2901.txm
39.109,4,132,0,1187,9441,19388,358,49,l2901.txm
40.129,4,134,0,1186,9369,19382,347,49,l2901.txm
41.1489,4,132,0,1186,9461,19354,354,49,l2901.txm
42.1689,4,135,0,1186,9431,19344,349,49,l2901.txm
43.189,4,134,0,1187,9380,19350,347,49,l2901.txm
44.209,4,134,0,1186,9427,19368,348,49,l2901.txm
45.238,4,133,0,1186,9435,19372,351,49,l2901.txm
46.3359,4,136,0,1186,9398,19348,349,49,l2901.txm
47.349,4,133,0,1186,9396,19332,360,49,l2901.txm
48.369,4,130,0,1185,9447,19358,354,49,l2901.txm
49.4509,4,133,0,1185,9430,19360,345,49,l2901.txm
50.478,4,136,0,1187,9471,19328,353,49,l2901.txm
51.589,4,133,0,1186,9398,19362,343,49,l2901.txm
52.609,4,134,0,1187,9483,19334,347,49,l2901.txm
53.728,4,133,0,1185,9421,19352,348,49,l2901.txm
54.8199,4,134,0,1186,9374,19352,350,49,l2901.txm
55.844,4,134,0,1185,9408,19348,342,49,l2901.txm
56.859,4,129,0,1186,9399,19330,346,49,l2901.txm
57.879,4,136,0,1186,9438,19332,351,49,l2901.txm
58.958,4,136,0,1185,9406,19350,343,49,l2901.txm
59.979,4,132,0,1186,9434,19352,349,49,l2901.txm
60.999,4,131,0,1190,9424,19348,345,49,l2901.txm
62.028,4,133,0,1193,9488,19534,355,49,l2901.txm
63.058,4,132,0,1191,9445,19620,349,49,l2901.txm
64.088,4,133,0,1190,9502,19748,345,49,l2901.txm
65.559,4,134,0,1187,9411,19830,354,50,l2901.txm
66.5289,5,134,0,1222,9494,19944,351,49,l2901.txm
67.548,5,131,0,1205,9429,20030,343,50,l2901.txm
68.568,5,131,0,1182,9450,19942,347,50,l2901.txm
69.599,5,133,0,1182,9515,19962,344,50,l2901.txm
70.6279,5,133,0,1187,9490,20014,347,50,l2901.txm
71.6489,5,134,0,1184,9454,20002,360,50,l2901.txm
72.67,5,132,0,1184,9429,19968,349,50,l2901.txm
73.689,5,135,0,1183,9453,20016,347,50,l2901.txm
74.709,5,132,0,1184,9478,20026,342,50,l2901.txm
75.738,5,133,0,1183,9489,20054,342,50,l2901.txm
76.795,5,132,0,1183,9488,20056,353,50,l2901.txm
77.778,5,132,0,1182,9471,20078,351,50,l2901.txm
78.798,5,135,0,1178,9456,20126,349,50,l2901.txm
79.83,5,135,0,1179,9486,20250,348,49,l2901.txm
80.849,5,133,0,1180,9443,20300,347,49,l2901.txm
81.869,5,131,0,1180,9436,20318,359,49,l2901.txm
82.9039,5,135,1,1195,9517,20342,350,49,l2901.txm
83.9189,5,132,0,1191,9519,20102,359,50,l2901.txm
84.939,5,135,0,1190,9462,20084,360,50,l2901.txm
85.959,5,135,0,1187,9426,19958,348,50,l2901.txm
86.979,5,133,0,1186,9477,19764,351,50,l2901.txm
88.005,5,132,0,1190,9398,19462,349,50,l2901.txm
89.019,5,134,0,1184,9493,19330,345,50,l2901.txm
90.0389,5,133,0,1182,9463,19310,358,50,l2901.txm
91.63,5,133,0,1185,9441,19300,352,50,l2901.txm
92.66,5,134,0,1186,9396,19310,360,50,l2901.txm
93.6899,5,134,0,1186,9453,19314,353,50,l2901.txm
94.709,5,132,0,1185,9465,19328,355,50,l2901.txm
95.729,5,133,0,1186,9422,19328,358,50,l2901.txm
96.749,5,132,0,1186,9479,19302,349,50,l2901.txm
97.769,5,132,0,1186,9483,19320,342,50,l2901.txm
98.7889,5,133,0,1185,9467,19340,351,50,l2901.txm
99.809,5,135,0,1185,9383,19298,355,50,l2901.txm
100.846,5,131,0,1185,9469,19346,346,50,l2901.txm
101.869,5,135,0,1183,9431,19298,354,50,l2901.txm
102.889,5,131,0,1185,9463,19310,352,50,l2901.txm
103.909,5,132,0,1186,9448,19318,360,50,l2901.txm
104.929,5,135,0,1183,9429,19306,350,50,l2901.txm
105.959,5,131,0,1185,9491,19320,350,50,l2901.txm
107.044,5,136,0,1186,9395,19318,350,50,l2901.txm
108.069,5,133,0,1185,9475,19310,352,50,l2901.txm
109.089,5,136,0,1183,9439,19302,343,50,l2901.txm
110.359,5,134,0,1185,9465,19290,353,50,l2901.txm
111.385,5,132,0,1184,9388,19340,344,50,l2901.txm
112.409,5,133,0,1187,9457,19288,346,50,l2901.txm
113.429,5,135,0,1184,9472,19300,360,50,l2901.txm
114.449,5,134,0,1184,9400,19314,344,50,l2901.txm
115.474,5,135,0,1184,9461,19298,344,50,l2901.txm
117.052,5,132,0,1185,9382,19290,356,50,l2901.txm
118.039,5,136,0,1186,9391,19310,343,50,l2901.txm
119.059,5,131,0,1184,9403,19300,345,50,l2901.txm
120.079,5,136,0,1185,9384,19332,341,50,l2901.txm
121.103,5,133,0,1184,9397,19294,348,50,l2901.txm
122.119,5,133,0,1184,9448,19292,348,50,l2901.txm
123.15,5,132,0,1185,9412,19304,346,50,l2901.txm
124.169,5,132,0,1184,9436,19292,351,50,l2901.txm
125.207,5,133,0,1185,9438,19304,350,50,l2901.txm
126.229,5,135,0,1185,9446,19312,345,50,l2901.txm
127.259,5,134,0,1184,9460,19314,356,50,l2901.txm
10.3789,4,131,0,1230,9431,20024,346,49,l2901.txm
10.3789,4,131,0,1230,9431,20024,346,49,l2902.txm
11.474,4,132,0,1226,9386,20026,352,49,l2902.txm
12.9719,4,134,0,1227,9423,20022,357,49,l2902.txm
13.9089,4,134,0,1206,9436,20138,342,49,l2902.txm
