"yy1","age","income","checking","saving","stocks","bond","vehic","houses","nnresre","late","late60","mrthel","install","edn_inst","veh_inst","housecl","own","noccbal","credit_score"
1,70,36448,3700,12860,0,0,25200,752800,0,"0","0",291800,0,0,0,1,1,1,674
2,46,224830,7080,35000,0,0,59800,580000,0,"0","0",487000,31400,0,31400,1,1,0,727
3,68,464576,1874,4230,59676000,0,37186,1361800,0,"1","0",0,0,0,0,1,1,1,450
4,74,147653,14600,150000,0,0,0,0,0,"0","0",0,0,0,0,2,0,1,841
5,19,60531,0,0,0,0,13800,0,0,"0","0",0,10400,0,10400,2,1,1,748
6,74,273298,75000,38600,2374000,1207600,133600,7e+05,0,"0","0",126800,0,0,0,1,1,1,862
7,52,13747037,117800,0,6964000,0,129200,6028000,0,"0","0",0,0,0,0,1,1,1,900
8,60,39778,1500,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,1,700
9,43,670165,95000,0,80000,0,226140,2400000,0,"0","0",4e+05,125400,0,125400,1,1,1,622
10,67,43236,13850,14100,0,0,18860,350000,0,"1","0",95000,2400,0,0,1,1,0,621
11,46,211859,10000,10500,0,0,14800,471000,0,"0","0",180000,1000,0,0,1,1,0,779
12,51,43669,1780,0,0,0,10000,0,0,"0","0",0,8120,0,8120,2,1,0,848
13,77,23132,5488,0,0,0,13000,0,0,"0","0",0,0,0,0,2,1,1,758
14,57,59234,500,0,0,0,30420,5e+05,0,"0","0",127600,3990,0,3920,1,1,0,795
15,30,115658,2868,1826,0,0,34800,0,0,"0","0",0,238580,213600,15600,2,1,0,782
16,56,48209,3120,0,0,0,10590,3e+05,0,"0","0",22000,0,0,0,1,1,0,814
17,70,22267,1700,950,0,0,11300,13000,0,"1","1",0,600,0,0,1,1,1,552
18,57,81068,3000,0,0,0,60860,527800,0,"0","0",0,0,0,0,1,1,1,768
19,32,49722,10000,3000,0,0,20800,0,0,"0","0",0,0,0,0,2,1,1,753
20,46,86473,2500,0,0,0,27400,2e+05,0,"0","0",108000,29000,18000,11000,1,1,0,772
21,75,1910187,103200,0,15418000,8326000,5560,1702000,0,"0","0",0,0,0,0,1,1,1,900
22,52,307411,7100,308100,50000,0,83000,475000,0,"0","0",0,0,0,0,1,1,1,900
23,62,57288,1000,0,0,0,10420,75000,0,"0","0",30000,3610,0,0,1,1,1,697
24,63,324274,20000,0,131800,0,57600,9e+05,0,"0","0",150000,0,0,0,1,1,0,853
25,57,3791839,120000,450000,5e+06,0,695800,1e+07,0,"0","0",0,0,0,0,1,1,1,666
26,41,42156,16,300,0,0,10600,0,0,"1","1",0,9000,0,9000,2,1,0,698
27,19,12971,200,0,0,0,0,0,0,"0","0",0,0,0,0,2,0,1,700
28,51,56856,264,0,0,0,0,0,0,"1","1",0,1000,1000,0,2,0,1,550
29,62,43236,3500,200,0,0,56400,0,0,"0","0",0,122800,68000,54800,2,1,0,849
30,68,95553,7000,197620,222000,0,89720,280000,801500,"0","0",0,0,0,0,1,1,1,878
31,23,47344,300,500,0,0,8560,0,0,"0","0",0,0,0,0,2,1,1,751
32,52,324274,5000,0,0,0,193400,520000,0,"0","0",248000,147000,0,147000,1,1,0,721
33,42,65071,500,0,0,0,26680,80000,0,"0","0",30000,2500,0,2500,1,1,0,797
34,42,829492,1021900,0,0,0,82200,3500000,0,"0","0",583600,0,0,0,1,1,1,725
35,50,54046,1000,0,0,0,4840,7e+05,0,"0","0",260000,0,0,0,1,1,1,669
36,49,41075,1680,0,0,0,8980,0,0,"0","0",0,0,0,0,2,1,1,752
37,55,53829,800,0,0,0,14340,0,0,"0","0",0,0,0,0,2,1,1,751
38,67,6282260,265400,0,0,6268000,56000,7926000,0,"0","0",0,0,0,0,1,1,1,900
