date,hour,total
3/1 (2011),12 AM,7
3/1 (2011),1 AM,3
3/1 (2011),2 AM,4
3/1 (2011),3 AM,2
3/1 (2011),4 AM,1
3/1 (2011),5 AM,2
3/1 (2011),6 AM,46
3/1 (2011),7 AM,107
3/1 (2011),8 AM,214
3/1 (2011),9 AM,124
3/1 (2011),10 AM,68
3/1 (2011),11 AM,56
3/1 (2011),12 PM,86
3/1 (2011),1 PM,78
3/1 (2011),2 PM,79
3/1 (2011),3 PM,64
3/1 (2011),4 PM,102
3/1 (2011),5 PM,242
3/1 (2011),6 PM,224
3/1 (2011),7 PM,119
3/1 (2011),8 PM,88
3/1 (2011),9 PM,63
3/1 (2011),10 PM,47
3/1 (2011),11 PM,25
3/2 (2011),12 AM,8
3/2 (2011),1 AM,4
3/2 (2011),2 AM,2
3/2 (2011),3 AM,4
3/2 (2011),4 AM,1
3/2 (2011),5 AM,5
3/2 (2011),6 AM,40
3/2 (2011),7 AM,110
3/2 (2011),8 AM,256
3/2 (2011),9 AM,148
3/2 (2011),10 AM,76
3/2 (2011),11 AM,73
3/2 (2011),12 PM,82
3/2 (2011),1 PM,125
3/2 (2011),2 PM,96
3/2 (2011),3 PM,110
3/2 (2011),4 PM,139
3/2 (2011),5 PM,268
3/2 (2011),6 PM,201
3/2 (2011),7 PM,150
3/2 (2011),8 PM,95
3/2 (2011),9 PM,71
3/2 (2011),10 PM,48
3/2 (2011),11 PM,22
3/3 (2011),12 AM,13
3/3 (2011),1 AM,1
3/3 (2011),2 AM,3
3/3 (2011),3 AM,1
3/3 (2011),4 AM,1
3/3 (2011),5 AM,8
3/3 (2011),6 AM,35
3/3 (2011),7 AM,111
3/3 (2011),8 AM,220
3/3 (2011),9 AM,145
3/3 (2011),10 AM,56
3/3 (2011),11 AM,50
3/3 (2011),12 PM,72
3/3 (2011),1 PM,80
3/3 (2011),2 PM,78
3/3 (2011),3 PM,68
3/3 (2011),4 PM,71
3/3 (2011),5 PM,202
3/3 (2011),6 PM,167
3/3 (2011),7 PM,106
3/3 (2011),8 PM,70
3/3 (2011),9 PM,51
3/3 (2011),10 PM,53
3/3 (2011),11 PM,23
3/4 (2011),12 AM,12
3/4 (2011),1 AM,4
3/4 (2011),2 AM,2
3/4 (2011),3 AM,1
3/4 (2011),4 AM,1
3/4 (2011),5 AM,7
3/4 (2011),6 AM,29
