title,author,star5,star4,star3,star2,star1
Data Analysis Using R (Low Priced Edition): A Primer for Data Scientist,Dr Dhaval Maheta,55%,39%,6%,0%,0%
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"Oz du Soleil,  and , Bill Jelen",87%,13%,0%,0%,0%
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",William McKinney,75%,16%,5%,2%,2%
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),Paul McFedries,52%,17%,10%,10%,10%
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,75%,18%,2%,2%,2%
Qualitative Data Analysis: A Methods Sourcebook,"Matthew B. Miles, A. Michael Huberman, et al.",84%,9%,4%,2%,0%
Topological Data Analysis with Applications,"Gunnar Carlsson,  and , Mikael Vejdemo-Johansson",100%,0%,0%,0%,0%
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",Robert I. Kabacoff,78%,11%,11%,0%,0%
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,91%,8%,1%,0%,0%
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"Programming Languages Academy, Matthew Kinsey, et al.",63%,22%,7%,3%,4%
Getting Started with Natural Language Processing,Ekaterina Kochmar,48%,52%,0%,0%,0%
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,72%,18%,7%,1%,2%
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),Programming Languages Academy,73%,8%,10%,4%,4%
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"Antoine Jacquier, Oleksiy Kondratyev, et al.",90%,10%,0%,0%,0%
Python Tricks: A Buffet of Awesome Python Features,Dan Bader,76%,17%,5%,1%,1%
Think Bayes: Bayesian Statistics in Python (O'reilly),Allen B. Downey,76%,8%,10%,3%,3%
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,0%,0%,0%,0%,0%
Data Science for Supply Chain Forecasting,Nicolas Vandeput,73%,15%,10%,2%,0%
"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries",Lee Vaughan,0%,0%,0%,0%,0%
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,86%,7%,2%,3%,2%
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,Leonard J. Ledger,94%,4%,1%,2%,0%
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike Cohen,70%,30%,0%,0%,0%
Preparing For A Data Interview: Learn Enough Python For A Project Or An Interview,Jonelle Hoop,0%,0%,0%,0%,0%
Coding Games in Python (Computer Coding for Kids),DK,70%,17%,6%,4%,4%
Python for Everybody: Exploring Data in Python 3,"Charles R. Severance, Aimee Andrion, et al.",76%,16%,5%,2%,2%
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,Donald P. Wilson,97%,3%,0%,0%,0%
Python for Algorithmic Trading: From Idea to Cloud Deployment,Yves Hilpisch,67%,14%,9%,5%,5%
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,79%,10%,11%,0%,0%
Practical Deep Learning: A Python-Based Introduction,Ronald T. Kneusel,82%,14%,4%,0%,0%
Murach's Python for Data Analysis (Training & Reference),Scott Mccoy,68%,21%,5%,6%,0%
Robust Python: Write Clean and Maintainable Code,Patrick Viafore,73%,15%,6%,2%,4%
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",JOE WEBINAR,65%,35%,0%,0%,0%
Learning Spark: Lightning-Fast Data Analytics,"Jules Damji, Brooke Wenig, et al.",80%,16%,2%,2%,1%
